rev16 x0, x1	2004c0da	
rev16 w0, w1	2004c05a	
rev32 x0, x1	2008c0da	
csel x0, x1, x2, eq	2000829a	
csel x0, x1, x2, ne	2010829a	
csel x0, x1, x2, lt	20b0829a	
csel x0, x1, x2, ge	20a0829a	
csel x0, x1, x2, hi	2080829a	
csinc x0, x1, x2, eq	2004829a	
csinc x0, x1, x2, ne	2014829a	
csinc x0, x1, x2, lt	20b4829a	
csinc x0, x1, x2, ge	20a4829a	
csinc x0, x1, x2, hi	2084829a	
csinv x0, x1, x2, eq	200082da	
csinv x0, x1, x2, ne	201082da	
csinv x0, x1, x2, lt	20b082da	
csinv x0, x1, x2, ge	20a082da	
csinv x0, x1, x2, hi	208082da	
csneg x0, x1, x2, eq	200482da	
csneg x0, x1, x2, ne	201482da	
csneg x0, x1, x2, lt	20b482da	
csneg x0, x1, x2, ge	20a482da	
csneg x0, x1, x2, hi	208482da	
cset x0, eq	e0179f9a	
cset x0, ne	e0079f9a	
cset x0, lt	e0a79f9a	
cset x0, gt	e0d79f9a	
csetm x0, eq	e0139fda	
csetm x0, ne	e0039fda	
csetm x0, lt	e0a39fda	
csetm x0, gt	e0d39fda	
cmp x1, x2	3f0002eb	
cmp x1, #42	3fa800f1	
cmn x1, x2	3f0002ab	
cmn x1, #42	3fa800b1	
tst x1, x2	3f0002ea	
ccmp x0, x1, #0, eq	000041fa	
ccmp w0, #31, #15, ne	0f185f7a	
crc32b w0, w1, w2	2040c21a	
crc32h w0, w1, w2	2044c21a	
crc32w w0, w1, w2	2048c21a	
crc32cb w0, w1, w2	2050c21a	
crc32x w0, w1, x2	204cc29a	
ldr x0, [x1]	200040f9	
ldr x0, [x1, #8]	200440f9	
ldr x0, [x1, #-8]!	208c5ff8	
ldr x0, [x1], #8	208440f8	
ldr x0, [x1, x2]	206862f8	
ldr x0, [x1, x2, lsl #3]	207862f8	
ldr w0, [x1, #4]	200440b9	
str x0, [x1]	200000f9	
str x0, [x1, #8]	200400f9	
str x0, [x1, #-8]!	208c1ff8	
str x0, [x1], #8	208400f8	
str x0, [x1, x2]	206822f8	
str x0, [x1, x2, lsl #3]	207822f8	
str w0, [x1, #4]	200400b9	
ldrb w0, [x1, #4]	20104039	
strb w0, [x1, #4]	20100039	
ldrh w0, [x1, #4]	20084079	
strh w0, [x1, #4]	20080079	
ldrsb w0, [x1, #4]	2010c039	
ldrsh w0, [x1, #4]	2008c079	
ldp x0, x1, [x2]	400440a9	
ldp x0, x1, [x2, #16]	400441a9	
ldp x0, x1, [sp, #-16]!	e007ffa9	
ldp x0, x1, [sp], #16	e007c1a8	
stp x0, x1, [x2]	400400a9	
stp x0, x1, [x2, #16]	400401a9	
stp x0, x1, [sp, #-16]!	e007bfa9	
stp x0, x1, [sp], #16	e00781a8	
ldxr x0, [x1]	207c5fc8	
ldxr w0, [x1]	207c5f88	
ldaxr x0, [x1]	20fc5fc8	
ldaxr w0, [x1]	20fc5f88	
ldar x0, [x1]	20fcdfc8	
ldar w0, [x1]	20fcdf88	
stxr w0, x1, [x2]	417c00c8	
stlxr w0, x1, [x2]	41fc00c8	
ldadd x0, x1, [x2]	410020f8	
ldadd w0, w1, [x2]	410020b8	
ldclr x0, x1, [x2]	411020f8	
ldclr w0, w1, [x2]	411020b8	
ldeor x0, x1, [x2]	412020f8	
ldeor w0, w1, [x2]	412020b8	
ldset x0, x1, [x2]	413020f8	
ldset w0, w1, [x2]	413020b8	
ldsmax x0, x1, [x2]	414020f8	
ldsmax w0, w1, [x2]	414020b8	
ldumin x0, x1, [x2]	417020f8	
ldumin w0, w1, [x2]	417020b8	
ldadda x0, x1, [x2]	4100a0f8	
ldadda w0, w1, [x2]	4100a0b8	
ldaddl x0, x1, [x2]	410060f8	
ldaddl w0, w1, [x2]	410060b8	
ldaddal x0, x1, [x2]	4100e0f8	
ldaddal w0, w1, [x2]	4100e0b8	
swp x0, x1, [x2]	418020f8	
swp w0, w1, [x2]	418020b8	
swpal x0, x1, [x2]	4180e0f8	
swpal w0, w1, [x2]	4180e0b8	
cas x0, x1, [x2]	417ca0c8	
cas w0, w1, [x2]	417ca088	
casal x0, x1, [x2]	41fce0c8	
casal w0, w1, [x2]	41fce088	
nop	1f2003d5	
yield	3f2003d5	
wfe	5f2003d5	
wfi	7f2003d5	
sev	9f2003d5	
sevl	bf2003d5	
dmb sy	bf3f03d5	
dsb sy	9f3f03d5	
dmb ish	bf3b03d5	
dsb ish	9f3b03d5	
dmb ishst	bf3a03d5	
dsb ishst	9f3a03d5	
dmb nsh	bf3703d5	
dsb nsh	9f3703d5	
dmb osh	bf3303d5	
dsb osh	9f3303d5	
dmb ld	bf3d03d5	
dsb ld	9f3d03d5	
dmb st	bf3e03d5	
dsb st	9f3e03d5	
isb	df3f03d5	
svc #0	010000d4	
brk #0	000020d4	
mrs x0, nzcv	00423bd5	
mrs x0, fpcr	00443bd5	
mrs x0, fpsr	20443bd5	
mrs x0, tpidr_el0	40d03bd5	
mrs x0, cntvct_el0	40e03bd5	
mrs x0, ctr_el0	20003bd5	
msr nzcv, x0	00421bd5	
msr daifset, #2	df4203d5	
fadd s0, s1, s2	2028221e	
fadd d0, d1, d2	2028621e	
fsub s0, s1, s2	2038221e	
fsub d0, d1, d2	2038621e	
fmul s0, s1, s2	2008221e	
fmul d0, d1, d2	2008621e	
fdiv s0, s1, s2	2018221e	
fdiv d0, d1, d2	2018621e	
fmax s0, s1, s2	2048221e	
fmax d0, d1, d2	2048621e	
fmin s0, s1, s2	2058221e	
fmin d0, d1, d2	2058621e	
fnmul s0, s1, s2	2088221e	
fnmul d0, d1, d2	2088621e	
fmaxnm s0, s1, s2	2068221e	
fmaxnm d0, d1, d2	2068621e	
fminnm s0, s1, s2	2078221e	
fminnm d0, d1, d2	2078621e	
fabs s0, s1	20c0201e	
fabs d0, d1	20c0601e	
fneg s0, s1	2040211e	
fneg d0, d1	2040611e	
fsqrt s0, s1	20c0211e	
fsqrt d0, d1	20c0611e	
fmov s0, s1	2040201e	
fmov d0, d1	2040601e	
frinta s0, s1	2040261e	
frinta d0, d1	2040661e	
frintn s0, s1	2040241e	
frintn d0, d1	2040641e	
frintm s0, s1	2040251e	
frintm d0, d1	2040651e	
frintz s0, s1	20c0251e	
frintz d0, d1	20c0651e	
frintp s0, s1	20c0241e	
frintp d0, d1	20c0641e	
fmadd s0, s1, s2, s3	200c021f	
fmadd d0, d1, d2, d3	200c421f	
fmsub s0, s1, s2, s3	208c021f	
fmsub d0, d1, d2, d3	208c421f	
fnmadd s0, s1, s2, s3	200c221f	
fnmadd d0, d1, d2, d3	200c621f	
fnmsub s0, s1, s2, s3	208c221f	
fnmsub d0, d1, d2, d3	208c621f	
fcvt d0, s1	20c0221e	
fcvt s0, d1	2040621e	
fcvtzs w0, s1	2000381e	
fcvtzs x0, d1	2000789e	
fcvtzu w0, s1	2000391e	
fcvtzu x0, d1	2000799e	
fcvtns w0, s1	2000201e	
fcvtns x0, d1	2000609e	
fcvtms w0, s1	2000301e	
